% Model,515Project.mph
% Version,COMSOL 6.2.0.339
% Date,"Apr 29 2024, 02:32"
% Dimension,3
% Nodes,6068
% Expressions,1
% Description,Volume
% x,y,z,Electric potential
0.06593827828708679,-1.4565069602620216E-4,0,0
0.0704639087177312,-0.002496521106262393,0,0
0.0704743695693556,0.0023508704102362223,0,0
0.02722911667109837,-0.052930435229375614,0.010000000000000002,-5.108711415465908E-4
0.024587310326654628,-0.048263550470026284,0.010000000000000002,2.2134261350569947E-4
0.029593675006647526,-0.048390843372446715,0.01,1.6716336400738834E-4
0.03225698960222156,-0.05291867381676907,0.010000000000000002,-3.481062558025858E-4
0.07108830438902694,-0.0318890280853632,0.010000000000000002,0
0.06712746829199284,-0.028981954975501226,0.01,0
0.07103916390296593,-0.027092926890138,0.010000000000000002,0
0.0025630593121700332,0.07122709644995504,0.010000000000000002,0
-0.002373694424808004,0.07116213379513689,0.010000000000000002,0
-1.0658141036401503E-17,0.07500000000000001,0.01,0
-0.008553410635566543,-0.011355330238538797,0,0.009856115843691126
-0.00978597280860143,-0.010245220395570697,0,0.010041892521059428
-0.009919685526112427,-0.011623838470074456,0,0.009445193897699732
0.010423825918331912,-0.009801974303095004,0,0.00961144575687155
0.009227518132300874,-0.009359055808847373,0,0.01012725263035029
0.009538898950002012,-0.010686901271424899,0,0.009527166688068807
0.006141571592492905,-0.013148775442098505,0.009999999999999998,0.009264848914252631
0.004449584793688365,-0.013568083209866683,0.009999999999999998,0.009325372053673342
0.004924887762496136,-0.012280726818820174,0.009999999999999998,0.009827672235939
-0.0146445667449988,-0.040969667306620404,0.01,0.0015641902906569185
-0.016543601327439223,-0.045246379538776624,0.01,7.817191785491595E-4
-0.018833187796768253,-0.04160083917329019,0.010000000000000002,0.001317053454491406
-0.019015157745704895,-0.05087406276441202,0,-1.3368632882076106E-4
-0.02123222304621597,-0.04678218225494897,0,4.637564908591211E-4
-0.02362942296997951,-0.050758743054156036,0,-1.0264263335393122E-4
0.07500000000000001,-0.054999999999999986,0.003333333333333333,0
0.07500000000000001,-0.04999999999999999,0.003333333333333333,0
0.07500000000000001,-0.04999999999999999,0,0
-0.02157510056721874,-0.05481092868696541,0,-4.934950967403846E-4
0.05753996382286987,-0.024155657155297168,0,2.584340920045732E-6
0.0533780208048235,-0.02194880833226201,0,-3.367922054508822E-4
0.053873409038365155,-0.026278680329464673,0,-5.168681840091461E-6
0.01676088093263685,-0.024524191863796972,0.010000000000000002,0.004447726961446828
0.019251159615429506,-0.027543689290362834,0.01,0.0035934335653134584
0.016604864684709383,-0.02865782504685726,0.010000000000000002,0.003646619264616516
-0.019009308128774736,0.017278946326587975,0,0.007627821827276949
-0.017872687050767624,0.01524061576506349,0,0.008508684893458683
-0.016524937830905053,0.016809959105483635,0,0.00858726182622937
0.07040217286912487,-0.017344211327043207,0,0
0.07040217286912487,-0.022344211327043208,0,0
0.07500000000000001,-0.019999999999999976,0,0
-0.009544619500145155,0.014125643248646298,0.01,0.01250520028201618
-0.009223045805293734,0.011876708075747082,0.010000000000000002,0.013843549813726382
-0.010904917517937793,0.013309919600764556,0.010000000000000002,0.012190083196851158
-0.060191752232754095,-0.05888128564130554,0.01,0
-0.05983726890333883,-0.05507778983436905,0.01,3.867679085605083E-22
-0.05572574483479857,-0.05811153723917393,0.010000000000000002,2.8440018441618116E-21
