% Model,515Project.mph
% Version,COMSOL 6.2.0.339
% Date,"Apr 28 2024, 23:35"
% Dimension,1
% Nodes,61
% Expressions,1
% Description,Line graph
% Arc length (m),Electric potential
0,0.19320526406852653
1.6666666666666666E-4,0.19320436764522414
3.333333333333333E-4,0.19320364686541547
4.999999999999999E-4,0.19320310172910055
6.666666666666666E-4,0.19320273223627943
8.333333333333333E-4,0.19320253838695212
9.999999999999998E-4,0.19320252018111853
0.0011666666666666665,0.1932026776187788
0.0013333333333333333,0.19320301069993273
0.0015,0.19320351942458044
0.0016666666666666666,0.193204203792722
0.0018333333333333333,0.19320398827324375
0.002,0.1932036184545367
0.0021666666666666666,0.1932030943366008
0.002333333333333333,0.19320241591943613
0.0024999999999999996,0.19320158320304265
0.002666666666666666,0.1932005961874203
0.002833333333333333,0.19319945487256923
0.0029999999999999996,0.1931981592584893
0.0031666666666666666,0.1931967093451805
0.003333333333333333,0.19319510513264296
0.0035,0.19319712626667102
0.003666666666666666,0.1931988757377262
0.0038333333333333327,0.19320035354580853
0.003999999999999999,0.193201559690918
0.004166666666666666,0.1932024941730547
0.004333333333333333,0.19320315699221852
0.004499999999999999,0.19320354814840954
0.004666666666666665,0.19320366764162772
0.004833333333333333,0.193203515471873
0.004999999999999999,0.19320309163914548
0.005166666666666667,0.19320137262214754
0.005333333333333332,0.19319983191654572
0.005499999999999999,0.19319846952233985
0.005666666666666666,0.19319728543953005
0.005833333333333333,0.19319627966811637
0.005999999999999998,0.19319545220809867
0.006166666666666666,0.19319480305947714
0.006333333333333333,0.19319433222225157
0.0065,0.19319403969642204
0.006666666666666666,0.19319392548198863
0.006833333333333334,0.19319595216030175
0.006999999999999999,0.19319760427925303
0.007166666666666665,0.19319888183884237
0.007333333333333332,0.19319978483906985
0.007499999999999999,0.19320031327993548
0.007666666666666665,0.19320046716143918
0.007833333333333331,0.19320024648358108
0.007999999999999998,0.19319965124636107
0.008166666666666666,0.19319868144977914
0.008333333333333331,0.1931973370938354
0.008499999999999999,0.19319833536290623
0.008666666666666665,0.1931992717797517
0.008833333333333332,0.19320014634437177
0.008999999999999998,0.19320095905676649
0.009166666666666665,0.1932017099169359
0.009333333333333332,0.19320239892487986
0.009499999999999998,0.19320302608059858
0.009666666666666664,0.1932035913840919
0.009833333333333333,0.19320409483535983
0.009999999999999998,0.1932045364344024
