% Model,515Project.mph
% Version,COMSOL 6.2.0.339
% Date,"Apr 28 2024, 23:35"
% Dimension,1
% Nodes,61
% Expressions,1
% Description,Line graph
% Arc length (m),Electric potential
0,0.19987771136335178
1.6942825716594287E-4,0.19987434005031973
3.3885651433188574E-4,0.19987152446835052
5.082847714978285E-4,0.199869264617444
6.777130286637715E-4,0.1998675604976003
8.471412858297143E-4,0.19986641210881934
0.001016569542995657,0.19986581945110113
0.0011859978001616,0.19986578252444573
0.001355426057327543,0.19986630132885308
0.001524854314493486,0.19986737586432318
0.0016942825716594286,0.19986900613085606
0.001854529002457936,0.1998717279414988
0.0020147754332564428,0.19987477757787694
0.00217502186405495,0.19987815503999046
0.0023352682948534573,0.1998818603278394
0.0024955147256519646,0.1998858934414237
0.0026557611564504715,0.1998902543807434
0.0028160075872489788,0.19989494314579856
0.0029762540180474856,0.19989995973658908
0.003136500448845993,0.19990530415311494
0.0032967468796445,0.19991097639537622
0.0034594239099764133,0.19991189687073166
0.0036221009403083265,0.19991219764449858
0.0037847779706402396,0.19991187871667693
0.003947455000972152,0.19991094008726673
0.004110132031304066,0.1999093817562681
0.004272809061635978,0.19990720372368087
0.004435486091967891,0.1999044059895052
0.0045981631222998046,0.19990098855374094
0.004760840152631718,0.19989695141638814
0.004923517182963631,0.19989229457744684
0.00508866167989161,0.1998931780305844
0.005253806176819588,0.19989365195096961
0.005418950673747567,0.19989371633860242
0.0055840951706755465,0.19989337119348285
0.005749239667603525,0.19989261651561097
0.005914384164531503,0.19989145230498667
0.006079528661459483,0.19988987856161006
0.006244673158387462,0.199887895285481
0.006409817655315441,0.19988550247659959
0.006574962152243419,0.1998827001349658
0.006742615023396246,0.19988434916236053
0.006910267894549073,0.19988520421400013
0.007077920765701899,0.19988526528988454
0.007245573636854725,0.1998845323900138
0.007413226508007552,0.19988300551438803
0.007580879379160379,0.19988068466300707
0.007748532250313205,0.19987756983587104
0.007916185121466031,0.19987366103297985
0.008083837992618859,0.19986895825433348
0.008251490863771685,0.19986346149993203
0.008426341777394515,0.19986574581129665
0.008601192691017348,0.19986801077839153
0.008776043604640179,0.19987025640121656
0.00895089451826301,0.1998724826797718
0.00912574543188584,0.19987468961405733
0.009300596345508673,0.19987687720407302
0.009475447259131504,0.19987904544981897
0.009650298172754335,0.1998811943512951
0.009825149086377168,0.1998833239085014
0.009999999999999998,0.19988543412143797
