% Model,515Project.mph
% Version,COMSOL 6.2.0.339
% Date,"Apr 29 2024, 01:41"
% Dimension,1
% Nodes,61
% Expressions,1
% Description,Line graph
% Arc length (m),Electric potential
0,0.18897023839959562
1.6734430166024197E-4,0.18896959216048434
3.3468860332048394E-4,0.1889691879845424
5.020329049807259E-4,0.1889690258717698
6.693772066409679E-4,0.18896910582216656
8.367215083012098E-4,0.18896942783573276
0.0010040658099614518,0.18896999191246827
0.0011714101116216938,0.18897079805237324
0.0013387544132819357,0.1889718462554475
0.0015060987149421777,0.18897313652169107
0.0016734430166024197,0.1889746688511041
0.0018407873182626616,0.18897367734429713
0.0020081316199229036,0.18897279080742682
0.0021754759215831454,0.18897200924049304
0.0023428202232433876,0.18897133264349594
0.0025101645249036297,0.18897076101643545
0.0026775088265638715,0.18897029435931156
0.0028448531282241137,0.18896993267212428
0.0030121974298843554,0.18896967595487363
0.003179541731544597,0.18896952420755952
0.0033468860332048394,0.18896947743018208
0.0035142303348650815,0.1889685838026009
0.0036815746365253237,0.18896782953091845
0.0038489189381855655,0.1889672146151346
0.004016263239845807,0.18896673905524947
0.004183607541506049,0.188966402851263
0.004350951843166291,0.18896620600317518
0.004518296144826533,0.1889661485109861
0.004685640446486776,0.1889662303746956
0.004852984748147017,0.18896645159430375
0.0050203290498072595,0.18896681216981062
0.005187605760312344,0.18896745415768884
0.005354882470817429,0.18896798923535066
0.005522159181322513,0.18896841740279605
0.005689435891827598,0.1889687386600251
0.005856712602332684,0.18896895300703775
0.006023989312837768,0.188969060443834
0.006191266023342853,0.18896906097041388
0.006358542733847937,0.18896895458677737
0.006525819444353023,0.18896874129292443
0.006693096154858107,0.18896842108885514
0.006858209001617888,0.1889671742037593
0.007023321848377668,0.18896620323749
0.007188434695137448,0.18896550819004723
0.007353547541897229,0.18896508906143106
0.007518660388657009,0.1889649458516415
0.00768377323541679,0.18896507856067846
0.007848886082176569,0.18896548718854206
0.00801399892893635,0.18896617173523217
0.00817911177569613,0.18896713220074887
0.00834422462245591,0.18896836858509214
0.00850980216021032,0.1889663232031523
0.008675379697964728,0.18896454136716562
0.008840957235719137,0.18896302307713203
0.009006534773473546,0.18896176833305164
0.009172112311227954,0.1889607771349244
0.009337689848982363,0.18896004948275028
0.009503267386736772,0.1889595853765294
0.009668844924491181,0.18895938481626162
0.00983442246224559,0.18895944780194696
0.009999999999999998,0.18895977433358546
