% Model,515Project.mph
% Version,COMSOL 6.2.0.339
% Date,"Apr 29 2024, 01:42"
% Dimension,1
% Nodes,61
% Expressions,1
% Description,Line graph
% Arc length (m),Electric potential
0,0.19673521149568576
1.6666666666666672E-4,0.19673313573972218
3.3333333333333343E-4,0.19673119565737707
5.000000000000001E-4,0.1967293912486504
6.666666666666669E-4,0.19672772251354217
8.333333333333335E-4,0.19672618945205247
0.0010000000000000002,0.1967247920641812
0.0011666666666666668,0.19672353034992843
0.0013333333333333337,0.19672240430929405
0.0015000000000000002,0.19672141394227813
0.001666666666666667,0.1967205592488807
0.0018333333333333335,0.1967202387399828
0.0020000000000000005,0.19672002178483522
0.0021666666666666666,0.1967199083834379
0.0023333333333333335,0.1967198985357908
0.0025,0.1967199922418941
0.0026666666666666666,0.19672018950174763
0.002833333333333333,0.1967204903153515
0.003,0.1967208946827056
0.0031666666666666666,0.19672140260381
0.003333333333333333,0.1967220140786647
0.0035,0.19672219952347306
0.0036666666666666666,0.19672204008055696
0.003833333333333333,0.19672153574991633
0.004,0.1967206865315512
0.004166666666666667,0.1967194924254616
0.004333333333333333,0.1967179534316475
0.0045,0.1967160695501089
0.004666666666666666,0.1967138407808458
0.004833333333333334,0.1967112671238582
0.005,0.1967083485791461
0.0051666666666666675,0.1967122337684421
0.005333333333333334,0.1967158209497936
0.0055,0.19671911012320042
0.005666666666666667,0.19672210128866274
0.005833333333333334,0.1967247944461805
0.006,0.19672718959575364
0.0061666666666666675,0.1967292867373823
0.006333333333333334,0.1967310858710663
0.0065,0.19673258699680576
0.006666666666666667,0.19673379011460068
0.006833333333333334,0.19673033354081587
0.007,0.19672737859538192
0.007166666666666666,0.19672492527829877
0.007333333333333332,0.1967229735895665
0.007499999999999998,0.19672152352918512
0.0076666666666666645,0.19672057509715457
0.007833333333333331,0.19672012829347493
0.007999999999999997,0.19672018311814612
0.008166666666666664,0.19672073957116815
0.00833333333333333,0.19672179765254103
0.008499999999999997,0.1967207080376372
0.008666666666666665,0.1967198601015881
0.00883333333333333,0.19671925384439354
0.008999999999999998,0.19671888926605358
0.009166666666666663,0.1967187663665684
0.009333333333333332,0.19671888514593777
0.009499999999999998,0.1967192456041619
0.009666666666666664,0.1967198477412406
0.009833333333333333,0.19672069155717395
0.009999999999999998,0.19672177705196195
