% Model,515Project.mph
% Version,COMSOL 6.2.0.339
% Date,"Apr 29 2024, 01:45"
% Dimension,1
% Nodes,61
% Expressions,1
% Description,Line graph
% Arc length (m),Electric potential
0,0.19303728209928867
1.6678506461484974E-4,0.19303939376679574
3.3357012922969947E-4,0.19304144946415924
5.003551938445492E-4,0.19304344919137906
6.671402584593989E-4,0.19304539294845519
8.339253230742487E-4,0.19304728073538777
0.0010007103876890984,0.19304911255217666
0.0011674954523039481,0.193050888398822
0.0013342805169187979,0.19305260827532367
0.0015010655815336476,0.19305427218168164
0.0016678506461484974,0.19305588011789607
0.001834635710763347,0.19305570884682732
0.002001420775378197,0.1930553829309183
0.0021682058399930468,0.19305490237016884
0.0023349909046078963,0.19305426716457902
0.002501775969222746,0.19305347731414893
0.0026685610338375958,0.1930525328188784
0.0028353460984524457,0.1930514336787676
0.0030021311630672952,0.1930501798938164
0.0031689162276821448,0.19304877146402483
0.0033357012922969947,0.1930472083893929
0.0035024863569118447,0.19304739273103091
0.003669271421526694,0.1930476281194149
0.0038360564861415437,0.19304791455454487
0.004002841550756394,0.19304825203642087
0.004169626615371243,0.19304864056504292
0.004336411679986093,0.19304908014041094
0.004503196744600943,0.193049570762525
0.004669981809215793,0.19305011243138503
0.004836766873830642,0.19305070514699108
0.005003551938445492,0.1930513489093431
0.005170323375058019,0.19305208763470022
0.0053370948116705464,0.19305206605390623
0.0055038662482830725,0.19305128416696116
0.0056706376848956,0.19304974197386493
0.005837409121508127,0.1930474394746177
0.006004180558120654,0.19304437666921928
0.006170951994733181,0.19304055355766986
0.006337723431345709,0.19303597013996932
0.006504494867958236,0.19303062641611765
0.006671266304570763,0.1930245223861149
0.006837659385527222,0.193024001123946
0.007004052466483681,0.19302397801802104
0.007170445547440138,0.19302445306833996
0.007336838628396597,0.19302542627490282
0.007503231709353055,0.19302689763770967
0.007669624790309514,0.1930288671567604
0.007836017871265972,0.1930313348320551
0.00800241095222243,0.19303430066359367
0.00816880403317889,0.19303776465137612
0.008335197114135348,0.1930417267954026
0.008501677402721813,0.19304200424292994
0.008668157691308279,0.19304195059788937
0.008834637979894743,0.19304156586028087
0.009001118268481208,0.19304085003010446
0.009167598557067672,0.19303980310736019
0.00933407884565414,0.19303842509204797
0.009500559134240603,0.1930367159841679
0.009667039422827067,0.1930346757837199
0.009833519711413535,0.19303230449070397
0.009999999999999998,0.19302960210512013
